iter	Passed	Remaining
0	147	147781
1	148	74319
2	149	49793
3	150	37522
4	151	30152
5	152	25227
6	153	21749
7	154	19121
8	155	17073
9	155	15437
10	156	14105
11	157	12985
12	158	12040
13	159	11227
14	160	10522
15	161	9914
16	162	9374
17	162	8889
18	163	8454
19	164	8067
20	165	7714
21	166	7393
22	167	7103
23	168	6835
24	168	6589
25	169	6362
26	170	6153
27	171	5958
28	172	5774
29	173	5603
30	174	5445
31	175	5297
32	176	5158
33	176	5024
34	177	4900
35	178	4781
36	179	4674
37	180	4568
38	181	4466
39	182	4371
40	183	4281
41	183	4195
42	184	4112
43	185	4034
44	186	3957
45	187	3886
46	188	3816
47	189	3749
48	189	3686
49	190	3627
50	191	3568
51	192	3513
52	193	3458
53	194	3405
54	195	3356
55	196	3307
56	197	3261
57	198	3217
58	199	3174
59	199	3133
60	200	3092
61	201	3054
62	202	3015
63	203	2978
64	204	2942
65	205	2907
66	206	2873
67	206	2834
68	207	2802
69	208	2771
70	209	2740
71	210	2710
72	211	2685
73	212	2657
74	213	2630
75	214	2605
76	215	2578
77	216	2554
78	216	2529
79	217	2506
80	218	2483
81	219	2459
82	220	2437
83	221	2416
84	222	2391
85	223	2371
86	223	2348
87	224	2328
88	225	2308
89	226	2289
90	227	2270
91	228	2252
92	229	2233
93	230	2217
94	230	2200
95	231	2183
96	232	2167
97	233	2151
98	234	2135
99	235	2120
100	236	2105
101	237	2086
102	237	2071
103	238	2056
104	239	2042
105	240	2027
106	241	2013
107	242	2000
108	243	1987
109	244	1975
110	245	1962
111	245	1950
112	247	1939
113	247	1926
114	248	1914
115	249	1902
116	250	1890
117	251	1879
118	252	1866
119	253	1855
120	253	1844
121	254	1833
122	255	1820
123	256	1810
124	257	1800
125	258	1790
126	259	1780
127	259	1768
128	260	1759
129	261	1749
130	262	1740
131	263	1731
132	264	1721
133	265	1713
134	266	1704
135	267	1696
136	267	1687
137	268	1678
138	269	1670
139	270	1661
140	271	1653
141	272	1645
142	273	1637
143	274	1629
144	275	1622
145	275	1614
146	276	1607
147	277	1599
148	278	1592
149	279	1585
150	280	1578
151	281	1571
152	282	1564
153	283	1557
154	284	1550
155	285	1543
156	286	1536
157	287	1529
158	287	1523
159	288	1516
160	289	1510
161	290	1504
162	291	1498
163	292	1492
164	293	1486
165	294	1480
166	295	1474
167	296	1467
168	297	1462
169	298	1456
170	299	1451
171	300	1445
172	301	1439
173	302	1434
174	303	1428
175	304	1423
176	304	1417
177	305	1412
178	306	1407
179	307	1401
180	308	1395
181	309	1389
182	310	1384
183	311	1380
184	312	1375
185	312	1369
186	313	1365
187	314	1360
188	315	1355
189	316	1350
190	317	1346
191	318	1342
192	319	1337
193	320	1332
194	321	1327
195	323	1325
196	324	1320
197	324	1315
198	325	1311
199	326	1306
200	327	1301
201	328	1297
202	329	1294
203	330	1289
204	331	1285
205	332	1280
206	333	1276
207	334	1272
208	334	1267
209	335	1263
210	336	1259
211	337	1254
212	338	1250
213	339	1245
214	340	1242
215	340	1237
216	341	1233
217	342	1229
218	343	1224
219	344	1220
220	345	1216
221	345	1212
222	346	1208
223	347	1204
224	348	1200
225	349	1197
226	350	1193
227	351	1189
228	352	1185
229	353	1181
230	353	1178
231	354	1174
232	355	1171
233	356	1167
234	357	1163
235	358	1159
236	359	1156
237	360	1152
238	360	1148
239	361	1145
240	362	1141
241	363	1137
242	364	1134
243	366	1134
244	367	1131
245	367	1127
246	368	1124
247	369	1121
248	371	1119
249	372	1116
250	372	1112
251	373	1109
252	374	1106
253	375	1103
254	376	1100
255	377	1096
256	378	1094
257	379	1091
258	380	1088
259	381	1085
260	382	1082
261	383	1079
262	384	1077
263	385	1074
264	386	1071
265	387	1068
266	388	1065
267	388	1062
268	389	1059
269	390	1056
270	391	1053
271	392	1051
272	393	1048
273	394	1046
274	395	1042
275	396	1040
276	397	1037
277	398	1034
278	399	1032
279	400	1029
280	401	1026
281	402	1023
282	403	1021
283	403	1018
284	404	1015
285	405	1013
286	406	1010
287	407	1008
288	408	1005
289	409	1003
290	410	1000
291	411	998
292	412	995
293	413	993
294	414	990
295	415	987
296	416	985
297	417	982
298	417	979
299	418	977
300	419	974
301	420	971
302	421	969
303	422	967
304	423	964
305	424	962
306	425	959
307	426	957
308	427	954
309	427	952
310	428	950
311	429	947
312	430	945
313	431	943
314	432	941
315	433	938
316	434	936
317	435	933
318	436	931
319	437	929
320	438	926
321	439	924
322	439	922
323	440	919
324	441	917
325	442	915
326	443	912
327	444	910
328	445	908
329	446	906
330	447	904
331	448	902
332	449	900
333	450	898
334	451	896
335	452	894
336	453	892
337	454	890
338	455	887
339	456	885
340	457	883
341	458	881
342	459	879
343	460	878
344	461	875
345	462	874
346	463	872
347	464	870
348	465	868
349	466	866
350	467	864
351	468	861
352	469	859
353	470	857
354	470	855
355	471	853
356	472	851
357	473	849
358	474	847
359	475	845
360	476	843
361	477	841
362	478	839
363	479	837
364	480	835
365	481	833
366	482	831
367	483	829
368	483	827
369	484	825
370	485	823
371	486	821
372	487	819
373	488	817
374	489	816
375	490	814
376	491	812
377	492	810
378	493	808
379	494	806
380	495	804
381	496	802
382	497	801
383	498	799
384	499	797
385	500	795
386	501	793
387	501	791
388	502	789
389	503	788
390	504	786
391	505	784
392	506	782
393	507	780
394	508	779
395	509	777
396	510	775
397	511	773
398	512	771
399	513	770
400	514	768
401	515	766
402	516	765
403	517	763
404	518	761
405	519	759
406	520	758
407	521	756
408	522	754
409	523	752
410	524	751
411	525	749
