iter	Passed	Remaining
0	154	153999
1	156	77872
2	157	52368
3	158	39577
4	160	31913
5	161	26801
6	162	23113
7	164	20339
8	165	18216
9	166	16511
10	168	15106
11	169	13944
12	170	12973
13	172	12133
14	173	11400
15	174	10756
16	176	10186
17	177	9683
18	178	9228
19	180	8820
20	181	8455
21	182	8123
22	184	7826
23	185	7550
24	187	7294
25	188	7059
26	189	6840
27	191	6635
28	192	6445
29	193	6266
30	195	6099
31	196	5941
32	197	5797
33	199	5664
34	200	5533
35	201	5409
36	203	5290
37	204	5179
38	205	5073
39	207	4971
40	208	4876
41	209	4786
42	211	4699
43	212	4626
44	214	4547
45	215	4472
46	217	4401
47	218	4333
48	219	4265
49	220	4197
50	222	4134
51	223	4074
52	224	4019
53	226	3963
54	227	3915
55	229	3865
56	230	3815
57	231	3765
58	233	3718
59	234	3671
60	235	3629
61	236	3584
62	238	3541
63	239	3500
64	240	3463
65	242	3432
66	243	3396
67	245	3359
68	246	3323
69	247	3290
70	248	3255
71	249	3220
72	250	3187
73	252	3154
74	253	3122
75	254	3091
76	255	3066
77	257	3041
78	258	3016
79	260	2991
80	261	2965
81	262	2939
82	263	2909
83	264	2885
84	265	2863
85	267	2839
86	268	2817
87	269	2794
88	270	2773
89	272	2753
90	273	2734
91	275	2716
92	276	2697
93	278	2680
94	279	2663
95	281	2647
96	282	2629
97	283	2611
98	285	2595
99	287	2583
100	288	2565
101	289	2550
102	291	2535
103	292	2520
104	293	2505
105	295	2491
106	296	2478
107	298	2464
108	299	2451
109	301	2437
110	302	2424
111	304	2411
112	305	2396
113	306	2383
114	308	2371
115	309	2358
116	310	2344
117	312	2332
118	313	2321
119	314	2308
120	316	2297
121	317	2285
122	318	2273
123	320	2261
124	321	2250
125	322	2239
126	324	2227
127	325	2217
128	327	2208
129	328	2197
130	329	2187
131	331	2178
132	332	2169
133	334	2159
134	335	2150
135	336	2140
136	338	2131
137	339	2122
138	341	2112
139	342	2103
140	343	2095
141	344	2084
142	346	2076
143	348	2069
144	349	2060
145	350	2052
146	352	2043
147	353	2034
148	354	2027
149	356	2019
150	357	2011
151	359	2004
152	360	1996
153	362	1989
154	363	1981
155	364	1974
156	366	1967
157	367	1960
158	369	1953
159	370	1945
160	371	1936
161	372	1929
162	374	1923
163	376	1919
164	377	1912
165	379	1905
166	380	1899
167	382	1892
168	383	1884
169	384	1877
170	385	1871
171	387	1864
172	388	1857
173	390	1851
174	391	1845
175	392	1839
176	394	1832
177	395	1825
178	396	1818
179	397	1811
180	398	1803
181	399	1796
182	400	1789
183	401	1782
184	403	1776
185	404	1772
186	406	1767
187	407	1761
188	409	1756
189	410	1750
190	411	1744
191	413	1738
192	414	1733
193	415	1727
194	417	1722
195	418	1718
196	420	1714
197	422	1709
198	423	1706
199	424	1699
200	426	1695
201	427	1689
202	429	1684
203	430	1679
204	431	1674
205	433	1669
206	434	1664
207	436	1661
208	437	1656
209	438	1651
210	440	1646
211	441	1641
212	443	1637
213	444	1633
214	446	1628
215	447	1624
216	448	1619
217	450	1615
218	451	1610
219	453	1606
220	454	1602
221	455	1597
222	457	1593
223	459	1590
224	460	1585
225	461	1581
226	463	1577
227	464	1572
228	465	1568
229	467	1564
230	468	1559
231	469	1555
232	471	1551
233	472	1547
234	474	1543
235	475	1539
236	476	1534
237	478	1530
238	481	1533
239	483	1529
240	484	1525
241	485	1521
242	487	1518
243	488	1514
244	490	1510
245	491	1506
246	493	1503
247	494	1500
248	496	1497
249	498	1494
250	499	1490
251	501	1487
252	502	1484
253	504	1481
254	506	1479
255	508	1476
256	509	1474
257	511	1470
258	512	1467
259	514	1463
260	515	1460
261	517	1457
262	519	1454
263	520	1450
264	521	1446
265	523	1443
266	524	1440
267	526	1437
268	527	1433
269	529	1430
270	530	1428
271	532	1424
272	533	1420
273	535	1418
274	536	1415
275	538	1412
276	539	1409
277	541	1406
278	543	1403
279	544	1400
280	545	1397
281	547	1393
282	548	1389
283	549	1385
284	551	1382
285	553	1382
286	555	1379
287	556	1376
288	559	1375
289	560	1372
290	561	1368
291	562	1365
292	564	1361
293	565	1358
294	567	1355
295	568	1352
296	570	1349
297	571	1346
298	573	1343
299	574	1340
300	575	1337
301	577	1334
302	578	1331
303	580	1327
304	581	1324
305	582	1321
306	584	1318
307	585	1315
308	587	1312
309	588	1309
310	589	1306
311	590	1303
312	592	1299
313	593	1296
314	594	1293
315	596	1290
316	597	1287
317	599	1284
318	600	1281
319	601	1278
320	603	1275
321	604	1272
322	605	1269
323	607	1267
324	608	1264
325	610	1261
326	611	1258
327	613	1256
328	615	1254
329	616	1251
330	617	1248
331	619	1245
332	620	1243
333	622	1240
334	623	1237
335	624	1234
336	626	1231
337	627	1228
338	628	1226
339	630	1223
340	631	1220
341	633	1218
342	634	1215
343	635	1212
344	637	1209
345	638	1207
346	640	1204
347	641	1201
348	642	1198
349	643	1195
350	645	1193
351	646	1190
352	648	1187
353	649	1185
354	650	1182
355	651	1179
356	653	1176
357	654	1173
358	655	1170
359	656	1167
360	658	1165
361	659	1163
362	661	1160
363	662	1158
364	664	1155
365	665	1152
366	666	1150
367	667	1147
368	669	1144
369	670	1142
370	672	1140
371	673	1137
372	675	1135
373	676	1132
374	678	1130
375	679	1128
376	681	1125
377	682	1123
378	684	1120
379	685	1118
380	686	1116
381	688	1113
382	690	1111
383	691	1109
384	693	1107
385	694	1104
386	695	1102
387	697	1099
388	698	1097
389	700	1095
390	701	1092
391	702	1090
392	704	1088
393	706	1085
394	707	1083
395	708	1080
396	710	1078
397	711	1076
398	712	1073
399	714	1071
400	715	1068
401	717	1066
402	718	1064
403	720	1062
404	721	1060
405	722	1057
406	724	1055
407	725	1053
408	727	1051
409	728	1048
410	730	1046
411	731	1044
412	733	1042
413	735	1040
414	736	1038
415	737	1035
416	739	1033
417	740	1031
418	742	1029
419	743	1026
420	744	1024
421	746	1022
422	747	1019
423	749	1017
424	750	1015
425	752	1013
426	753	1011
427	754	1008
428	756	1006
429	757	1004
430	759	1002
431	760	999
432	761	997
433	763	995
434	764	993
435	766	991
436	767	989
437	769	987
438	770	984
439	772	982
440	773	980
441	774	978
442	776	975
443	777	973
444	778	971
445	780	969
446	782	967
447	783	965
448	784	963
449	786	960
450	787	958
451	789	956
452	790	954
453	791	952
454	793	950
455	794	948
456	796	946
457	797	944
458	799	941
459	800	939
460	801	937
461	803	935
462	804	933
463	806	931
464	808	929
465	809	927
466	811	926
467	812	924
468	814	921
469	815	919
470	817	917
471	818	915
472	819	913
473	821	911
474	822	909
475	824	907
476	825	905
477	826	903
478	828	901
479	829	899
480	831	896
481	832	894
482	833	892
483	835	890
484	836	888
485	838	886
486	839	884
487	840	882
488	842	880
489	843	878
490	845	875
491	846	873
492	847	871
493	849	869
494	850	867
495	852	865
496	853	863
497	854	861
498	856	859
499	857	857
500	858	855
501	860	853
502	861	851
503	863	849
504	864	847
505	866	845
506	867	843
507	869	841
508	870	839
509	872	837
510	873	835
511	874	833
512	876	831
513	877	829
514	879	827
515	880	825
516	881	823
517	883	822
518	884	820
519	886	818
520	887	816
521	889	814
522	890	812
523	891	809
524	893	808
525	894	805
526	895	803
527	897	801
528	898	800
529	899	798
530	901	796
531	902	794
532	904	792
533	905	790
534	907	788
535	908	786
536	909	784
537	911	782
538	912	780
539	914	778
540	915	776
541	917	774
542	918	773
543	920	771
544	921	769
545	922	767
546	924	765
547	925	763
548	927	761
549	928	759
550	930	757
551	931	756
552	933	754
553	934	752
554	935	750
555	937	748
556	938	746
557	940	744
558	941	742
559	943	741
560	944	739
561	946	737
562	947	735
563	949	733
564	950	731
565	951	729
566	953	727
567	954	725
568	955	724
569	957	722
570	958	720
571	960	718
572	961	716
573	963	714
574	964	712
575	966	711
576	967	709
577	968	707
578	970	705
579	971	703
580	973	701
581	974	700
582	976	698
583	977	696
584	979	694
585	980	692
586	981	690
587	983	688
588	984	686
589	985	685
590	987	683
591	988	681
592	990	679
593	991	677
594	992	675
595	994	673
596	995	672
597	996	670
598	998	668
599	999	666
600	1001	664
601	1003	663
602	1004	661
603	1005	659
604	1007	657
605	1009	656
606	1010	654
607	1011	652
608	1013	650
609	1014	648
610	1016	647
611	1017	645
612	1019	643
613	1020	641
614	1022	639
615	1023	638
616	1025	636
617	1026	634
618	1028	632
619	1029	631
620	1031	629
621	1033	627
622	1034	626
623	1036	624
624	1037	622
625	1038	620
626	1040	618
627	1041	617
628	1043	615
629	1044	613
630	1046	611
631	1047	610
632	1049	608
633	1050	606
634	1052	604
635	1053	603
636	1055	601
637	1056	599
638	1058	597
639	1059	595
640	1061	594
641	1062	592
642	1064	590
643	1065	589
644	1067	587
645	1068	585
646	1069	583
647	1071	581
648	1072	580
649	1074	578
650	1075	576
651	1077	575
652	1079	573
653	1080	571
654	1081	569
655	1083	568
656	1084	566
657	1085	564
658	1087	562
659	1089	561
660	1091	559
661	1092	557
662	1094	556
663	1096	554
664	1098	553
665	1099	551
666	1100	549
667	1102	547
668	1103	545
669	1105	544
670	1106	542
671	1108	540
672	1109	539
673	1111	537
674	1112	535
675	1113	533
676	1115	532
677	1116	530
678	1118	528
679	1119	526
680	1120	524
681	1122	523
682	1123	521
683	1125	519
684	1126	518
685	1128	516
686	1129	514
687	1131	513
688	1132	511
689	1134	509
